date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:08	345/345	---MCZ	200	added ('OK')	text/plain	date:Mon,%2016%20Nov%202020%2022:21:07%20GMT	https://npcvet.wordpress.com/robots.txt		(from )
22:21:08	49090/49090	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202020%2022:21:08%20GMT	https://npcvet.wordpress.com/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/index.html	(from )
22:21:09	12405/12405	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bfee313-30cd%22	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/vet/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://npcvet.wordpress.com/)
22:21:09	855/855	---MCZ	200	added ('OK')	text/xml	date:Mon,%2016%20Nov%202020%2022:21:08%20GMT	https://npcvet.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/xmlrpc0db0.php	(from https://npcvet.wordpress.com/)
22:21:09	1503/1503	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2016%20Nov%202020%2022:21:09%20GMT	https://npcvet.wordpress.com/feed/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/feed/index.html	(from https://npcvet.wordpress.com/)
22:21:09	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bffef52-273e%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/vet/s2.wp.com/i/webclip.png	(from https://npcvet.wordpress.com/)
22:21:09	906/906	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220e46038a88f33bc2129cc6b15d7ddb13%22	https://npcvet.wordpress.com/comments/feed/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/comments/feed/index.html	(from https://npcvet.wordpress.com/)
22:21:10	1403/1403	---MCZ	200	added ('OK')	application/xml	date:Mon,%2016%20Nov%202020%2022:21:09%20GMT	https://npcvet.wordpress.com/osd.xml	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/osd.xml	(from https://npcvet.wordpress.com/)
22:21:10	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%225bffef5d-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/My%20Web%20Sites/vet/s1.wp.com/_static/indexba1f.html	(from https://npcvet.wordpress.com/)
22:21:10	10323/10323	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202020%2022:33:43%20GMT	https://npcvet.files.wordpress.com/2020/11/logog88.jpg?w=350	C:/My%20Web%20Sites/vet/npcvet.files.wordpress.com/2020/11/logog882993.jpg	(from https://npcvet.wordpress.com/)
22:21:10	25213/25213	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202020%2021:13:57%20GMT	https://npcvet.files.wordpress.com/2020/11/gettyimages-148198316-612x612-1.jpg?w=612	C:/My%20Web%20Sites/vet/npcvet.files.wordpress.com/2020/11/gettyimages-148198316-612x612-1e7c0.jpg	(from https://npcvet.wordpress.com/)
22:21:10	38410/38410	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202020%2016:54:04%20GMT	https://npcvet.files.wordpress.com/2020/11/gettyimages-91933192-612x612-1.jpg	C:/My%20Web%20Sites/vet/npcvet.files.wordpress.com/2020/11/gettyimages-91933192-612x612-1.jpg	(from https://npcvet.wordpress.com/)
22:21:11	46923/46923	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202020%2022:21:10%20GMT	https://npcvet.wordpress.com/about/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/about/index.html	(from https://npcvet.wordpress.com/)
22:21:11	41641/41641	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202020%2016:54:09%20GMT	https://npcvet.files.wordpress.com/2020/11/gettyimages-106491630-612x612-1.jpg	C:/My%20Web%20Sites/vet/npcvet.files.wordpress.com/2020/11/gettyimages-106491630-612x612-1.jpg	(from https://npcvet.wordpress.com/)
22:21:11	37617/37617	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Nov%202020%2015:58:41%20GMT	https://npcvet.files.wordpress.com/2020/11/gettyimages-148198349-612x612-1.jpg	C:/My%20Web%20Sites/vet/npcvet.files.wordpress.com/2020/11/gettyimages-148198349-612x612-1.jpg	(from https://npcvet.wordpress.com/)
22:21:11	31206/31206	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202020%2021:13:57%20GMT	https://npcvet.files.wordpress.com/2020/11/gettyimages-148198316-612x612-1.jpg	C:/My%20Web%20Sites/vet/npcvet.files.wordpress.com/2020/11/gettyimages-148198316-612x612-1.jpg	(from https://npcvet.wordpress.com/)
22:21:11	46871/46871	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202020%2022:21:11%20GMT	https://npcvet.wordpress.com/our-services/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/our-services/index.html	(from https://npcvet.wordpress.com/)
22:21:12	24042/24042	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e8609cc-5dea%22	http://0.gravatar.com/js/gprofiles.js?ver=202047y	C:/My%20Web%20Sites/vet/0.gravatar.com/js/gprofiles88bc.js	(from https://npcvet.wordpress.com/)
22:21:12	56730/56730	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Nov%202020%2022:21:11%20GMT	https://npcvet.wordpress.com/contact-us/	C:/My%20Web%20Sites/vet/npcvet.wordpress.com/contact-us/index.html	(from https://npcvet.wordpress.com/)
22:21:12	582/582	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bfee31f-2f0%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/My%20Web%20Sites/vet/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://npcvet.wordpress.com/)
22:21:13	12042/12042	---MCZ	200	added ('OK')	text/css	etag:W/%225f88539e-376b%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20201002	C:/My%20Web%20Sites/vet/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar61ea.css	(from https://npcvet.wordpress.com/)
22:21:13	15569/15569	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f88539e-4f45%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20201002	C:/My%20Web%20Sites/vet/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar61ea.js	(from https://npcvet.wordpress.com/)
22:21:13	7987/7987	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dcad0b1-1f33%22	https://s0.wp.com/wp-includes/js/dist/vendor/wp-polyfill-fetch.min.js?m=1573572739h&ver=3.0.0	C:/My%20Web%20Sites/vet/s0.wp.com/wp-includes/js/dist/vendor/wp-polyfill-fetch.min9853.js	(from https://npcvet.wordpress.com/)
